Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	100.00	100.00	100.00	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744535.1_ASM4974453v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	100.00	95.64	99.75	JBLZTT010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 30 30_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744815.1_ASM4974481v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.99	95.90	99.32	JBLZTZ010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 313 313_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049745055.1_ASM4974505v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.99	96.34	99.39	JBLZUG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 47 47_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049745115.1_ASM4974511v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.99	95.53	98.98	JBLZUH010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 53 53_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049745135.1_ASM4974513v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.99	96.77	99.86	JBLZUI010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 60 60_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049745155.1_ASM4974515v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.99	94.72	99.39	JBLZUJ010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 61 61_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049745315.1_ASM4974531v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.99	95.73	99.96	JBLZUN010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 97N 97N_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049745395.1_ASM4974539v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.99	95.72	99.93	JBLZUP010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 99N 99N_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744115.1_ASM4974411v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	95.76	99.14	JBLZTI010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 23 23_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744195.1_ASM4974419v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	95.63	99.82	JBLZTK010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 263 263_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744215.1_ASM4974421v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.59	99.73	JBLZTJ010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 256 256_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744295.1_ASM4974429v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	94.06	99.65	JBLZTM010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 282 282_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744305.1_ASM4974430v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.83	99.21	JBLZTO010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 291 291_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744355.1_ASM4974435v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.27	99.17	JBLZTN010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 290 290_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744415.1_ASM4974441v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.26	99.15	JBLZTQ010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 296 296_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744425.1_ASM4974442v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.29	99.16	JBLZTP010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 292 292_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744575.1_ASM4974457v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.26	99.16	JBLZTU010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 300 300_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744675.1_ASM4974467v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.24	99.17	JBLZTW010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 306 306_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744695.1_ASM4974469v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	97.64	98.84	JBLZTX010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 308 308_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744775.1_ASM4974477v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.26	99.19	JBLZTY010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 310 310_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744795.1_ASM4974479v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.28	99.16	JBLZUA010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 314 314_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744875.1_ASM4974487v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.10	99.22	JBLZUB010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 317 317_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744935.1_ASM4974493v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	96.24	98.93	JBLZUD010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 321 321_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049745375.1_ASM4974537v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.98	95.50	99.64	JBLZUO010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 98N 98N_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744095.1_ASM4974409v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.97	96.25	99.15	JBLZTH010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 101N 101N_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744235.1_ASM4974423v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.97	96.28	99.15	JBLZTL010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 264 264_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744475.1_ASM4974447v1_genomic.fna	/cfs/klemming/projects/snic/naiss2023-23-542/VR/NWU_2025_workshop/assemblies/GCA_049744075.1_ASM4974407v1_genomic.fna	99.97	96.19	99.20	JBLZTR010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 297 297_00001, whole genome shotgun sequence	JBLZTG010000001.1 Salmonella enterica subsp. enterica serovar Minnesota strain 100N 100N_00001, whole genome shotgun sequence
