Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000001.1	522538	524592	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000001.1	552190	553095	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	98.01	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000001.1	641804	645430	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000001.1	645514	646626	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000002.1	421345	422151	+	cdtB	cytolethal distending toxin S-CDT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	269	269	100.00	100.00	269	CAD02120.1	cytolethal distending toxin S-CDT	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000006.1	92676	94865	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	96.85	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000007.1	196069	196530	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	BLASTX	154	154	100.00	99.35	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000007.1	196545	198830	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.08	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000007.1	199107	200330	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000007.1	200330	203494	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.72	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000015.1	276	1319	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	98.85	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000023.1	34437	35579	-	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000023.1	55621	56817	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000033.1	7574	8386	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000035.1	1159	1947	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
GCA_049744075.1_ASM4974407v1	NA	JBLZTG010000037.1	2178	2819	+	qnrB19	quinolone resistance pentapeptide repeat protein QnrB19	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_012954666.1	quinolone resistance pentapeptide repeat protein QnrB19	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000001.1	523237	525291	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000001.1	552889	553794	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	98.01	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000001.1	642503	646129	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000001.1	646213	647325	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000003.1	421347	422153	+	cdtB	cytolethal distending toxin S-CDT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	269	269	100.00	100.00	269	CAD02120.1	cytolethal distending toxin S-CDT	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000004.1	220878	221339	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	BLASTX	154	154	100.00	99.35	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000004.1	221354	223639	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.08	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
