Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCA_049744075.1_ASM4974407v1_genomic,GCA_049744095.1_ASM4974409v1_genomic,GCA_049744115.1_ASM4974411v1_genomic,GCA_049744195.1_ASM4974419v1_genomic,GCA_049744215.1_ASM4974421v1_genomic,GCA_049744235.1_ASM4974423v1_genomic,GCA_049744295.1_ASM4974429v1_genomic,GCA_049744305.1_ASM4974430v1_genomic,GCA_049744355.1_ASM4974435v1_genomic,GCA_049744415.1_ASM4974441v1_genomic,GCA_049744425.1_ASM4974442v1_genomic,GCA_049744475.1_ASM4974447v1_genomic,GCA_049744535.1_ASM4974453v1_genomic,GCA_049744555.1_ASM4974455v1_genomic,GCA_049744575.1_ASM4974457v1_genomic,GCA_049744655.1_ASM4974465v1_genomic,GCA_049744675.1_ASM4974467v1_genomic,GCA_049744695.1_ASM4974469v1_genomic,GCA_049744775.1_ASM4974477v1_genomic,GCA_049744795.1_ASM4974479v1_genomic,GCA_049744815.1_ASM4974481v1_genomic,GCA_049744875.1_ASM4974487v1_genomic,GCA_049744915.1_ASM4974491v1_genomic,GCA_049744935.1_ASM4974493v1_genomic,GCA_049744995.1_ASM4974499v1_genomic,GCA_049745015.1_ASM4974501v1_genomic,GCA_049745055.1_ASM4974505v1_genomic,GCA_049745115.1_ASM4974511v1_genomic,GCA_049745135.1_ASM4974513v1_genomic,GCA_049745155.1_ASM4974515v1_genomic,GCA_049745215.1_ASM4974521v1_genomic,GCA_049745255.1_ASM4974525v1_genomic,GCA_049745275.1_ASM4974527v1_genomic,GCA_049745315.1_ASM4974531v1_genomic,GCA_049745375.1_ASM4974537v1_genomic,GCA_049745395.1_ASM4974539v1_genomic
coaA,coaA,type I pantothenate kinase,36,36,1.0,8,3,,,,927,927,927.0,PELDJG_22925,IDBKBP_23720,LPINFE_23805,ECBHDB_24265,DADOMI_23835,ELDHGE_23700,MDPJHN_24540,HFNKEK_23450,AIPMEA_23710,AKMJEK_23720,PAKNIB_23705,NPKKGL_23715,NCNPLN_24150,HICFFN_23415,PDGMNN_23715,LNCDGL_23730,MOCNOJ_23745,MBAGMH_23370,FCFEDA_23730,KIAGOF_23735,LGENEP_23815,BOACPM_23735,GEHLKP_24130,HGDNEH_23680,KDBOED_23860,CCFJDI_24195,OJCCDD_23820,MLAAMA_23975,OHBKOH_23830,CMGKAF_24395,BMJMLA_23975,OMOEPE_24850,CODKGK_24420,CMJGGH_24180,JAPNBN_24185,GMMDCK_24195
group_1632,,UDP-N-acetylenolpyruvoylglucosamine reductase,36,36,1.0,8,2,,,,1029,1029,1029.0,PELDJG_22915,IDBKBP_23710,LPINFE_23795,ECBHDB_24255,DADOMI_23825,ELDHGE_23690,MDPJHN_24530,HFNKEK_23440,AIPMEA_23700,AKMJEK_23710,PAKNIB_23695,NPKKGL_23705,NCNPLN_24140,HICFFN_23405,PDGMNN_23705,LNCDGL_23720,MOCNOJ_23735,MBAGMH_23360,FCFEDA_23720,KIAGOF_23725,LGENEP_23805,BOACPM_23725,GEHLKP_24120,HGDNEH_23670,KDBOED_23850,CCFJDI_24185,OJCCDD_23810,MLAAMA_23965,OHBKOH_23820,CMGKAF_24385,BMJMLA_23965,OMOEPE_24840,CODKGK_24410,CMJGGH_24170,JAPNBN_24175,GMMDCK_24185
birA,birA,bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA,36,36,1.0,8,1,,,,963,963,963.0,PELDJG_22920,IDBKBP_23715,LPINFE_23800,ECBHDB_24260,DADOMI_23830,ELDHGE_23695,MDPJHN_24535,HFNKEK_23445,AIPMEA_23705,AKMJEK_23715,PAKNIB_23700,NPKKGL_23710,NCNPLN_24145,HICFFN_23410,PDGMNN_23710,LNCDGL_23725,MOCNOJ_23740,MBAGMH_23365,FCFEDA_23725,KIAGOF_23730,LGENEP_23810,BOACPM_23730,GEHLKP_24125,HGDNEH_23675,KDBOED_23855,CCFJDI_24190,OJCCDD_23815,MLAAMA_23970,OHBKOH_23825,CMGKAF_24390,BMJMLA_23970,OMOEPE_24845,CODKGK_24415,CMJGGH_24175,JAPNBN_24180,GMMDCK_24190
roxA,roxA,[50S ribosomal protein L16]-arginine 3-hydroxylase,36,36,1.0,7,26,,,,1122,1122,1122.0,PELDJG_22140,IDBKBP_22845,LPINFE_23515,ECBHDB_23425,DADOMI_22655,ELDHGE_22730,MDPJHN_23380,HFNKEK_22790,AIPMEA_22835,AKMJEK_22715,PAKNIB_22730,NPKKGL_22735,NCNPLN_23385,HICFFN_22625,PDGMNN_22875,LNCDGL_22850,MOCNOJ_22905,MBAGMH_22735,FCFEDA_22845,KIAGOF_22765,LGENEP_22990,BOACPM_23125,GEHLKP_23360,HGDNEH_23155,KDBOED_22720,CCFJDI_23315,OJCCDD_22945,MLAAMA_23550,OHBKOH_23135,CMGKAF_23820,BMJMLA_23290,OMOEPE_20930,CODKGK_23640,CMJGGH_23505,JAPNBN_23435,GMMDCK_23490
hflD,hflD,high frequency lysogenization protein HflD,36,36,1.0,7,25,,,,642,642,642.0,PELDJG_22160,IDBKBP_22865,LPINFE_23535,ECBHDB_23445,DADOMI_22675,ELDHGE_22750,MDPJHN_23400,HFNKEK_22810,AIPMEA_22855,AKMJEK_22735,PAKNIB_22750,NPKKGL_22755,NCNPLN_23405,HICFFN_22645,PDGMNN_22895,LNCDGL_22870,MOCNOJ_22925,MBAGMH_22755,FCFEDA_22865,KIAGOF_22785,LGENEP_23010,BOACPM_23145,GEHLKP_23380,HGDNEH_23175,KDBOED_22740,CCFJDI_23335,OJCCDD_22965,MLAAMA_23570,OHBKOH_23155,CMGKAF_23840,BMJMLA_23310,OMOEPE_20950,CODKGK_23660,CMJGGH_23525,JAPNBN_23455,GMMDCK_23510
phoQ,phoQ,two-component system sensor histidine kinase PhoQ,36,36,1.0,7,24,,,,1464,1464,1464.0,PELDJG_22145,IDBKBP_22850,LPINFE_23520,ECBHDB_23430,DADOMI_22660,ELDHGE_22735,MDPJHN_23385,HFNKEK_22795,AIPMEA_22840,AKMJEK_22720,PAKNIB_22735,NPKKGL_22740,NCNPLN_23390,HICFFN_22630,PDGMNN_22880,LNCDGL_22855,MOCNOJ_22910,MBAGMH_22740,FCFEDA_22850,KIAGOF_22770,LGENEP_22995,BOACPM_23130,GEHLKP_23365,HGDNEH_23160,KDBOED_22725,CCFJDI_23320,OJCCDD_22950,MLAAMA_23555,OHBKOH_23140,CMGKAF_23825,BMJMLA_23295,OMOEPE_20935,CODKGK_23645,CMJGGH_23510,JAPNBN_23440,GMMDCK_23495
group_1631,,Tetratricopeptide repeat protein,36,36,1.0,7,23,,,,1335,1335,1335.0,PELDJG_22135,IDBKBP_22840,LPINFE_23510,ECBHDB_23420,DADOMI_22650,ELDHGE_22725,MDPJHN_23375,HFNKEK_22785,AIPMEA_22830,AKMJEK_22710,PAKNIB_22725,NPKKGL_22730,NCNPLN_23380,HICFFN_22620,PDGMNN_22870,LNCDGL_22845,MOCNOJ_22900,MBAGMH_22730,FCFEDA_22840,KIAGOF_22760,LGENEP_22985,BOACPM_23120,GEHLKP_23355,HGDNEH_23150,KDBOED_22715,CCFJDI_23310,OJCCDD_22940,MLAAMA_23545,OHBKOH_23130,CMGKAF_23815,BMJMLA_23285,OMOEPE_20925,CODKGK_23635,CMJGGH_23500,JAPNBN_23430,GMMDCK_23485
group_1630,erfK,Lipoprotein-anchoring transpeptidase ErfK/SrfK,36,36,1.0,7,22,,,,966,966,966.0,PELDJG_22070,IDBKBP_22775,LPINFE_23445,ECBHDB_23355,DADOMI_22585,ELDHGE_22660,MDPJHN_23310,HFNKEK_22720,AIPMEA_22765,AKMJEK_22645,PAKNIB_22660,NPKKGL_22665,NCNPLN_23315,HICFFN_22555,PDGMNN_22805,LNCDGL_22780,MOCNOJ_22835,MBAGMH_22665,FCFEDA_22775,KIAGOF_22695,LGENEP_22920,BOACPM_23055,GEHLKP_23290,HGDNEH_23085,KDBOED_22650,CCFJDI_23245,OJCCDD_22875,MLAAMA_23480,OHBKOH_23065,CMGKAF_23750,BMJMLA_23220,OMOEPE_20860,CODKGK_23570,CMJGGH_23435,JAPNBN_23365,GMMDCK_23420
lprI,lprI,Lysozyme inhibitor LprI,36,36,1.0,7,21,,,,330,330,330.0,PELDJG_22175,IDBKBP_22880,LPINFE_23550,ECBHDB_23460,DADOMI_22690,ELDHGE_22765,MDPJHN_23415,HFNKEK_22825,AIPMEA_22870,AKMJEK_22750,PAKNIB_22765,NPKKGL_22770,NCNPLN_23420,HICFFN_22660,PDGMNN_22910,LNCDGL_22885,MOCNOJ_22940,MBAGMH_22770,FCFEDA_22880,KIAGOF_22800,LGENEP_23025,BOACPM_23160,GEHLKP_23395,HGDNEH_23190,KDBOED_22755,CCFJDI_23350,OJCCDD_22980,MLAAMA_23585,OHBKOH_23170,CMGKAF_23855,BMJMLA_23325,OMOEPE_20965,CODKGK_23675,CMJGGH_23540,JAPNBN_23470,GMMDCK_23525
pepT,pepT,peptidase T,36,36,1.0,7,20,,,,1230,1230,1230.0,PELDJG_22130,IDBKBP_22835,LPINFE_23505,ECBHDB_23415,DADOMI_22645,ELDHGE_22720,MDPJHN_23370,HFNKEK_22780,AIPMEA_22825,AKMJEK_22705,PAKNIB_22720,NPKKGL_22725,NCNPLN_23375,HICFFN_22615,PDGMNN_22865,LNCDGL_22840,MOCNOJ_22895,MBAGMH_22725,FCFEDA_22835,KIAGOF_22755,LGENEP_22980,BOACPM_23115,GEHLKP_23350,HGDNEH_23145,KDBOED_22710,CCFJDI_23305,OJCCDD_22935,MLAAMA_23540,OHBKOH_23125,CMGKAF_23810,BMJMLA_23280,OMOEPE_20920,CODKGK_23630,CMJGGH_23495,JAPNBN_23425,GMMDCK_23480
